old	new
0	Other
1	Other
2	RLS
3	Other
4	Other
5	AES_early
6	Other
7	Other
8	Other
9	Other
10	CLS
11	Other
12	CB_nuclei
13	Caudal_Pons
14	EGL2
15	Other
16	AES_late
17	CES
18	Other
19	Other
20	Other
21	Early_Pons
22	Other
23	EGL1
24	Other
25	Other
26	Other
27	Other
28	Other
29	Other
30	Other
31	Other
32	PES
33	Other
34	Other
35	Other
36	Other
37	Other
38	Other
39	Other
